file_id,path,rom_offset,size,member_count,member_bytes,sections,member_kinds,sha1,sha256
260,a/0/1/8,110467584,46904,668,41508,BTAF;BTNF;GMIF,"{""LZ10"": 7, ""LZ11"": 2, ""unknown"": 659}",f1d190627b1e64e35fe82cee9633b33db0ee9b08,988f77b54a0d200ddd9547123e87902f128bb389ab3d9c85af78f74356fd0311
261,a/0/1/9,110514688,34788,668,28056,BTAF;BTNF;GMIF,"{""LZ10"": 1, ""unknown"": 667}",5e20bbfe6d178b1372844dea6f5016d2b7e87b14,270316da9dd317f3e3e7682ae5aee6350cbc96226a52d47ac2e2852854b0d99d
262,a/0/2/0,110549504,7852,650,1300,BTAF;BTNF;GMIF,"{""LZ10"": 3, ""LZ11"": 5, ""unknown"": 642}",135c29bfe32d251397f3911cdefad480ba19ac17,414deaf6d5cb9e0a22143ddc4ce219c5a6210818e31affc10332a0443b74d98c
263,a/0/2/1,110557696,24692,560,20160,BTAF;BTNF;GMIF,"{""LZ10"": 29, ""unknown"": 531}",8247cba4a422c66caa1f71d54775db09f742c5fd,2b2609fed2f358edb6731abbe27ae88e081064696d33791f42f394b808c93731
264,a/0/2/2,110582784,3800,3,3724,BTAF;BTNF;GMIF,"{""NCGR"": 1, ""NCLR"": 1, ""NSCR"": 1}",04ad96cfdcfd0ad46c38dc970c74a235d3ef4175,0d2c1ef32fc66d783056df7d01cd14e67511a0afec27ff2cdf86a2e7ea373a03
265,a/0/2/3,110586880,650120,8,649998,BTAF;BTNF;GMIF,"{""NCLR"": 3, ""unknown"": 5}",2f9c1a8b951abc04d7544718ad8fc62a9bbdbd66,c5f59cbf1055623ba94dd6b166b38cd8ab436ed71f3d303b22caf6c6bd1a497c
266,a/0/2/4,111237120,27640,627,22572,BTAF;BTNF;GMIF,"{""unknown"": 627}",a6492550716ab4ed71f87224cb10eb8f7fe9fc9c,7a26e51b71a3a121c37f01e7b66e4dfac1d5d3e2d4030c0db023cc9c9ee1cdfa
267,a/0/2/5,111264768,565576,1005,557482,BTAF;BTNF;GMIF,"{""NANR"": 1, ""NCER"": 1, ""NCGR"": 451, ""NCLR"": 552}",bb8f55bdecbe309aacdb5b39863c981b635db6e0,105b42baed147f183e25073a9c3bd9e35108378a1e9ffcb7a11c975b4d8dca24
268,a/0/2/6,111830528,22228,15,22040,BTAF;BTNF;GMIF,"{""LZ10"": 9, ""NANR"": 1, ""NCER"": 1, ""NCLR"": 4}",7c9bb86d8c84185afaef35238d6977cd308b869b,1c8d090df09353e5f8068d78518a90476595f61f656ee5d3ccd053806e7aec69
269,a/0/2/7,111853056,85968,17,85778,BTAF;BTNF;GMIF,"{""NANR"": 2, ""NCER"": 2, ""NCGR"": 7, ""NCLR"": 3, ""NSCR"": 3}",fec01e3d62fa005640632305a61d207d52430714,13bdbe20c5c7a6b904ebfbbe06dd685c231d927ae0f63a5288adfa15445bc2c0
270,a/0/2/8,111939072,68224,17,68032,BTAF;BTNF;GMIF,"{""NANR"": 2, ""NCER"": 2, ""NCGR"": 4, ""NCLR"": 5, ""NSCR"": 4}",c383016a62d1bb895aee770d1b6c008da3b5a8e6,3ced39523ed426258609ab49e2e869a59bb5160fc0d4bcc819e0790eca76761d
271,a/0/2/9,112007680,79564,18,79362,BTAF;BTNF;GMIF,"{""NANR"": 2, ""NCER"": 2, ""NCGR"": 3, ""NCLR"": 4, ""NSCR"": 7}",1801eb6c69bf10d9926000a0871eb20639e72f76,b03504a401191d86fa71e9ac27997da8afe358928fa6955be7f97d0059ec1e34
272,a/0/3/0,112087552,109492,35,109158,BTAF;BTNF;GMIF,"{""NANR"": 1, ""NCER"": 1, ""NCGR"": 14, ""NCLR"": 6, ""NSCR"": 3, ""unknown"": 10}",044aab0bc7d7e2874847f281b06b3ae460196e07,6fd3a40ae23ba46a4e4ac9005f2d0681b38f5da31b5aba8d0eb1bcbb1a8428bf
273,a/0/3/1,112197120,51012,24,50762,BTAF;BTNF;GMIF,"{""NANR"": 7, ""NCER"": 7, ""NCGR"": 7, ""NCLR"": 3}",eb57506d0b8222da13f61aaede3b3f910677c1ac,643e26ea0f8456af69960c77dafe227642d56cfd6e466ae3ae9fc4aa1d95f632
274,a/0/3/2,112248320,60324,97,59384,BTAF;BTNF;GMIF,"{""NANR"": 32, ""NCER"": 32, ""NCGR"": 32, ""NCLR"": 1}",98127e425f5bd699d5fe44bbc15a7ad0da2c6794,b7d28d9502a31c315506a0b44b32219c7e80c49a130f5855f78a74801b4a53c7
275,a/0/3/3,112308736,97944,33,97626,BTAF;BTNF;GMIF,"{""NANR"": 2, ""NCER"": 2, ""NCGR"": 8, ""NCLR"": 11, ""NSCR"": 10}",5885aa314cced8011be09e140fd6d01c3ad4a3e8,7ca51465b54bd3dded7f37506bb81ee032e7f9f60a91cf80ce50cc2482ba61ac
276,a/0/3/4,112407040,192004,39,191630,BTAF;BTNF;GMIF,"{""NANR"": 3, ""NCER"": 3, ""NCGR"": 8, ""NCLR"": 9, ""NSCR"": 15, ""unknown"": 1}",464530452c3bd7a928b1435bfc5a585565ae07d1,a5f05017896dfd0926c5ddcc4c82eab8ec3266b7b13ba37f726c9fa0a6820003
277,a/0/3/5,112599552,7780,16,7580,BTAF;BTNF;GMIF,"{""LZ10"": 8, ""NANR"": 2, ""NCER"": 2, ""NCLR"": 4}",7c2b6ebc32631af99299987e7b6c26d79fa625a7,4d0d2503e30d7284d498978f196ed97c51a52d91780579a5a01e3a6a450e5b42
278,a/0/3/6,112607744,28172,14,28004,BTAF;BTNF;GMIF,"{""LZ11"": 7, ""NANR"": 2, ""NCER"": 2, ""NCGR"": 1, ""NCLR"": 2}",4337725aff6061ac4dfd73953e28803492f85cbb,e224fbfe407d0c4983688e6d2e64d9c071e70466b3ba6987790892f8b8823f7d
279,a/0/3/7,112636416,5436,1,5376,BTAF;BTNF;GMIF,"{""unknown"": 1}",ce89ee943e727779f6c692898932c9bedf71e839,27bb0bcd57bbf54bbbfb5ee34fcc90ddf0da8ee3c22e2bff269306e85084b9f2
280,a/0/3/8,112642048,636,1,576,BTAF;BTNF;GMIF,"{""unknown"": 1}",e8bff879735679592cb31c8d66d446be254a633f,1f6c1d645b260a7e054a2e4e4874017a8925609d7a9979bf277ce453c42b8ad5
281,a/0/3/9,112643072,16468,18,16270,BTAF;BTNF;GMIF,"{""LZ11"": 13, ""NANR"": 1, ""NCER"": 1, ""NCLR"": 3}",e3bace45f01745eb831d6412d8b0497d75575306,e9bf3e2986b7e9597e4afc18e499c2d603914c85706e8925cc39f2f5513bd243
282,a/0/4/0,112659968,195596,53,195112,BTAF;BTNF;GMIF,"{""BCA0"": 2, ""BMD0"": 2, ""NANR"": 2, ""NCER"": 2, ""NCGR"": 8, ""NCLR"": 25, ""NSCR"": 12}",82ee8a01808b9ce2a935a4840bd9d0e102e38ba4,a702180fcc83e8cfb315cb3c5e6e8424f62bf448a22bc48404046dcdf8aadd82
283,a/0/4/1,112856064,114144,33,113828,BTAF;BTNF;GMIF,"{""NCGR"": 16, ""NCLR"": 16, ""NSCR"": 1}",d3ccb026012015adb8b8041202cf217d7a34312f,761c7381ecc1408f5c64b00d8cbae25fd7afc0e899fa2da373310c805d53a663
284,a/0/4/2,112970240,1500,1,1440,BTAF;BTNF;GMIF,"{""unknown"": 1}",bca9d3e0daf8bf8d184c93f74a42e1ef4364a301,f88d7acabf6486b7ce89700831fc31a22970383eec848a1054bb6012535f5b6d
285,a/0/4/3,112971776,175336,47,174902,BTAF;BTNF;GMIF,"{""NANR"": 6, ""NCER"": 6, ""NCGR"": 14, ""NCLR"": 10, ""NSCR"": 11}",a00d26a12dce2a7d955efc174101ea45fd4c8fc4,fc7021e4a515ef2002ee0e5367e0875dd965fd6dd654e8f8750ddee6132fc7d2
286,a/0/4/4,113147392,55112,12,54964,BTAF;BTNF;GMIF,"{""NANR"": 1, ""NCER"": 1, ""NCGR"": 3, ""NCLR"": 4, ""NSCR"": 3}",8481a9238ab0c18e7c8ae1a9cd85f993c31d2da9,b171810e468a5ef2e0f5982d28dd9dab19f561365e16aac4278effac125bd9dd
